날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2024-03-31,         11,         25,         20,         14,         26,         16,         24,         14,         14,         22,         18,         21,         25,         24,         23,         31,         19
2024-03-30,         22,         26,         24,         24,         30,         26,         23,         24,         17,         26,         25,         28,         26,         25,         25,         30,         23
2024-03-29,         43,         25,         25,         41,         30,         31,         24,         40,         36,         37,         35,         34,         24,         30,         24,         26,         29
2024-03-28,         16,          8,         16,         20,          8,         11,          9,         22,         18,         21,         16,         15,          7,         17,          9,          5,         14
2024-03-27,         15,          9,         11,         17,         15,          9,         10,         18,         11,         12,         16,         17,         10,         14,         11,          7,         11
2024-03-26,          4,          5,          3,          4,          5,          4,          5,          4,          4,          4,          7,          6,          5,          7,          3,          5,          5
2024-03-25,          7,         10,          7,         11,         10,          7,          7,          9,          7,          8,         10,         11,          9,         11,          9,          8,          7
2024-03-24,         16,         12,         13,         21,         22,         15,          8,         17,         12,         16,         21,         24,         17,         14,         15,         10,         17
2024-03-23,         25,         20,         17,         24,         20,         23,         17,         25,         17,         29,         27,         25,         20,         19,         20,         18,         25
2024-03-22,         18,         14,         18,         19,         13,         18,         18,         19,         20,         20,         19,         15,         11,         21,         14,         13,         17
2024-03-21,         20,         18,         18,         19,         15,         17,         20,         20,         20,         20,         18,         17,         13,         21,         15,         10,         18
2024-03-20,         23,         17,         17,         23,         14,         19,         18,         21,         16,         21,         19,         17,         13,         20,         15,         10,         21
2024-03-19,         26,         17,         19,         26,         18,         24,         15,         27,         18,         23,         27,         21,         17,         22,         16,         18,         26
2024-03-18,          7,         14,         16,          9,         12,         12,         11,          9,         10,         13,         12,         13,         17,         16,         17,         17,         12
2024-03-17,         19,         16,         17,         20,         20,         18,         15,         21,         18,         22,         23,         22,         18,         22,         16,         17,         21
2024-03-16,         31,         25,         25,         31,         20,         17,         26,         34,         32,         29,         23,         21,         17,         29,         21,         12,         22
2024-03-15,         31,         29,         26,         27,         22,         19,         24,         33,         31,         26,         23,         24,         20,         28,         24,         18,         22
2024-03-14,         36,         30,         29,         36,         24,         26,         30,         36,         31,         33,         29,         27,         21,         31,         26,         21,         32
2024-03-13,         26,         26,         22,         26,         17,         25,         22,         28,         27,         27,         24,         21,         16,         24,         18,         14,         26
2024-03-12,         21,         17,         15,         23,         15,         19,         16,         26,         22,         21,         24,         18,         12,         22,         12,         16,         25
2024-03-11,         19,         18,         19,         22,         15,         16,         17,         21,         18,         19,         19,         18,         14,         23,         16,          8,         19
2024-03-10,         17,         18,         17,         18,         17,         17,         17,         19,         20,         21,         19,         21,         16,         20,         17,         12,         20
2024-03-09,         18,         19,         15,         18,         14,         16,         16,         18,         16,         17,         17,         16,         13,         18,         14,         14,         17
2024-03-08,         22,         20,         21,         24,         20,         21,         20,         21,         18,         23,         23,         22,         20,         24,         18,         24,         20
2024-03-07,         18,         14,         14,         20,         17,         16,         11,         18,         13,         15,         23,         21,         14,         15,         14,         14,         20
2024-03-06,          7,         11,         10,         11,          9,         11,          8,          8,          8,          9,         12,         13,         10,         13,          9,         11,         12
2024-03-05,         22,         12,          9,         27,          8,         17,          8,         27,         19,         28,         35,         12,         11,         20,         10,          6,         32
2024-03-04,         37,         45,         47,         37,         45,         47,         40,         46,         35,         60,         61,         51,         38,         51,         41,         25,         54
2024-03-03,         64,         34,         31,         66,         36,         39,         30,         63,         38,         43,         60,         43,         30,         35,         30,         34,         44
2024-03-02,         14,         11,         11,         19,         10,          9,         11,         14,         12,         13,         12,         10,         10,         14,          9,         11,         10
2024-03-01,         11,         16,         13,         12,         14,         11,         13,         11,         14,         15,         12,         13,         14,         17,         12,         16,         12
