날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-10-01,9,11,9,8,9,8,13,8,9,11,9,11,9,13.0,11,11,8
2023-10-02,8,8,8,9,9,9,9,9,6,10,10,10,9,10.0,8,7,9
2023-10-03,11,9,12,14,10,10,11,11,7,11,13,12,9,12.0,10,8,11
2023-10-04,13,10,14,17,10,11,12,14,8,13,13,12,8,14.0,10,8,11
2023-10-05,6,10,8,7,8,6,11,6,7,10,7,9,8,11.0,9,9,7
2023-10-06,9,12,9,10,9,10,13,10,7,12,10,10,8,12.0,10,7,11
2023-10-07,11,10,11,12,16,13,10,12,7,12,15,17,13,11.0,12,10,13
2023-10-08,5,6,6,7,10,5,7,6,5,8,8,11,8,8.0,6,8,6
2023-10-09,5,7,7,8,8,7,7,7,5,8,9,9,8,8.0,7,8,7
2023-10-10,11,11,10,18,13,13,12,13,8,13,16,15,11,13.0,11,11,14
2023-10-11,14,10,11,18,14,13,11,15,10,13,18,16,12,13.0,11,12,15
2023-10-12,16,10,11,21,13,12,10,17,12,13,18,15,12,13.0,11,10,15
2023-10-13,21,11,16,23,16,15,12,24,14,17,25,20,14,16.0,14,12,20
2023-10-14,19,14,19,18,19,18,16,22,15,21,22,20,15,19.0,16,13,20
2023-10-15,16,14,15,17,16,13,15,17,14,18,16,17,13,17.0,14,13,14
2023-10-16,18,16,16,16,15,14,18,17,15,17,14,15,12,19.0,15,13,14
2023-10-17,14,15,10,15,10,9,18,15,13,14,13,12,8,15.0,11,8,13
2023-10-18,17,15,16,19,14,13,18,20,14,18,16,15,12,16.0,14,8,16
2023-10-19,18,13,21,19,16,14,17,20,19,20,16,17,11,20.0,14,7,14
2023-10-20,6,7,6,7,6,5,8,6,8,8,6,7,6,9.0,6,8,5
2023-10-21,7,7,7,8,7,6,8,7,7,8,7,8,6,9.0,6,7,7
2023-10-22,10,8,9,11,10,8,9,12,9,11,10,10,8,11.0,8,8,9
2023-10-23,16,15,16,17,14,12,17,18,16,17,16,15,12,18.0,14,8,14
2023-10-24,21,18,21,25,18,17,21,26,20,23,22,19,15,22.0,17,10,22
2023-10-25,23,20,22,26,19,20,23,28,21,25,23,22,17,24.0,18,11,24
2023-10-26,33,25,31,40,26,30,29,38,26,33,32,32,21,33.0,23,16,27
